gene,BB9,BB10,BB17,BB19,BB20,BB21,BB11,BB12,BB18,,
alsK,59739,64.7797,51.4596,56044,61.2679,64.3928,68.4987,90.5071,68872,930,65.0623
alsR,96972,92.2172,80.5681,72559,58.8179,94.1477,99.4373,119766,111015,891,91.7222
alx,75.8584,78.9025,72264,45.8275,48.9718,65.2182,79.9161,106367,96.6603,966,74.4428
amiA,104176,109841,125527,107721,98.0378,97.6139,81.2195,73.7353,71292,870,96.5737
amiB,91.2032,86.4119,93.1847,102.38,112509,106676,107689,109568,117758,1338,103042
amiC,76.5297,74.7199,62.1238,68.3404,76.8518,89.2539,83.9545,95.2106,97.6288,1254,80.5126
amiD,51.8761,55.9461,51.3115,104535,99676,57.9013,67.1777,53.3608,73337,831,68.3468
amn,134359,133177,183872,229398,187344,141715,111473,79.4196,108474,1455,145.47
ampC,118047,112254,131208,101058,131353,121695,100008,107913,96.5204,1134,113339
ampD,84.5393,112903,144714,166146,140498,128764,140916,82.9459,86.6586,552,120898
ampE,49.0572,41.2216,45.8731,39.4678,56358,52.4972,45.0966,68.9232,60.3733,855,50.9853
ampG,95.4721,101871,118481,95.6375,73.7522,89.2756,66.7841,80495,93.0154,1476,90.5315
ampH,72.3361,79.9864,114661,71.4092,54672,80.81,82.4455,86.6888,75.1493,1158,79.7954
amtB,54.3651,51.8756,45.1535,76.8424,67.7757,82.3929,57.7693,69.6008,66.4619,1287,63.5819
amyA,67.0498,60.2736,50.4198,268993,258001,168116,97.5656,65668,94.2631,1488,125595
anmK,64.4152,55.6947,65.9689,57.0393,71.1368,71.2067,67.8873,51.5402,53321,1110,62.0233
ansA,166177,185744,271.73,168533,184853,134901,90.9089,58.4274,98.7223,1017,151111
ansB,71.1611,83.4717,57.3941,40.3675,51.7339,65.7931,97.7509,108.11,111252,1047,76.3371
ansP,49.7522,44366,40.6608,40984,41.7378,67.3085,50069,64.6104,62.5195,1500,51.3342
apaG,311799,379969,586866,698711,675997,395304,319096,121.29,273832,378,418096
apaH,81.1074,94.5788,109486,119494,102847,90.2009,81.5339,79.6669,94.0931,843,94.7786
apbE,59.6375,64.7837,56.3939,61.3798,50.2937,68.5104,53.1024,64.7027,61.2941,1056,60.0109
aphA,114226,97.4198,122211,102245,94581,99.0639,151558,102017,116582,714,111.1
appA,42.9581,52.2236,48753,42.9532,38.5839,51253,50.5248,53.19,44.9389,1299,47.2643
appY,52.1642,63.9941,60.6914,43.8796,55.8067,70.9239,52.5277,72.3079,45.7636,750,57.5621
apt,154637,144828,185456,128014,120108,86.9575,82.3023,85.1712,98.1641,552,120626
aqpZ,48.5462,50.4328,36.7068,38.6433,34.6164,33.1569,33.1189,51.8424,43.6838,696,41.1942
araA,49.0817,54.0957,57.4579,48.6825,53.3552,52511,55.8806,75.0036,75.2513,1503,57.9244
araB,56.7431,55632,29933,44.98,38.0465,44.7027,57.8516,72.8624,63.1554,1701,51.5452
araC,95.7146,110101,111961,108709,104236,70098,156294,85.4873,99617,879,104691
araD,44.5815,42.8164,45.4958,39.6034,42702,49238,51.6654,73.1971,64.0696,696,50.3743
araE,76.4034,70.2721,57.8163,61.6889,54.7786,69.3617,73.7789,102469,84.2768,1419,72.3162
araF,41.3765,49.0592,30.5311,44.3791,31.0866,46.3875,49.8692,59.2144,60.3302,990,45.8037
araG,57.5168,54.5656,58.5466,60.8673,56.0667,63.1386,51399,57302,52.9811,1515,56.9315
araH,59.0849,53.9259,45.5712,53823,66.8167,68.9744,55.9655,63.7191,70.3709,987,59.8057
araJ,78.5019,84.5113,57087,63.1564,57.2849,85.2006,73.0691,90337,82.4456,1185,74.6215
arcA,264358,329602,513398,890491,870478,574355,543959,199454,358081,717,504908
arcB,94.4357,93.2759,125948,115.73,116639,104326,100069,86.6194,86.9056,2337,102661
arcZ,53.2129,75.1873,77.3189,82.8369,72.6701,71.5202,89.3627,54.0569,52488,121,69.8504
arfA,73.0818,120046,120765,193753,153377,158.59,217781,133.63,157342,219,147596
arfB,44.2153,44.8778,67.2023,77.4058,76.9134,68.4678,71.1387,51.5436,52.3903,423,61.5728
argA,69378,75.1308,54.7039,50.5427,59.6767,75.8845,77.9055,103814,92.3176,1332,73.2615
argB,40.7232,31.3461,37.5113,47.2998,43.2298,43.9566,55.5569,64.4204,63.4774,777,47.5024
argC,48.9962,35.0691,33.6558,60.5053,66.4949,60.8503,56.1308,72.6612,55.9338,1005,54.4775
argD,67298,65.4749,81.0428,72.1029,74.3199,77.9635,82.5851,94.5143,90.9711,1221,78.4747
argE,78.4617,73.4384,92.3002,111805,99.3801,91.4474,85.8581,78.9034,89382,1152,88.9973
argF,48.4471,52675,35446,42.2207,44.6216,48.5654,51.0431,66.7334,54.3204,1005,49.3414
argG,78.6595,79.4169,89.1544,161461,173768,132213,121428,96.9004,98.7324,1344,114637
argH,45.7903,35.1919,27.2361,42.1891,38.0137,45.5161,57.4667,57.5502,47.8949,1374,44.0944
argI,62.2368,61.0859,38.8473,40.5585,56.5207,76.6943,67.4737,91.1778,84842,1005,64.3819
argK,71.0492,69909,60.6943,42.6022,40.0809,59.0832,77.9298,97.5823,81.8098,996,66749
argO,78.0018,78.3932,71.0042,66.9793,67.1924,69667,77.8901,106079,85624,636,77.8701
argP,106798,106331,108.07,102774,102094,78.86,90.5715,110399,116537,894,102493
argQ,0,0,0,0,0,0,0,0,0,77,0
argR,628578,734602,1064.59,970.05,971906,576.93,983427,260793,489447,471,742258
argS,145701,165.29,272882,173798,165314,127763,92.7153,67.3848,98.1904,1734,145449
argT,57.0925,55.3503,75.5965,221459,229541,153406,173744,76.6336,109587,783,128045
argU,350409,506098,964999,765847,940973,557449,449584,137589,324.66,77,555.29
argV,1370.58,1561.09,2738.45,2490.63,1971.02,1165.85,1004.76,344.97,823056,77,1496.71
argW,300884,494.76,1000.33,518982,447861,392312,130.76,79.8417,122517,75,387583
argX,183168,219557,310762,351465,372278,278725,170907,144369,208835,77,248896
argY,0,0,0,0,0,0,0,0,0,77,0
argZ,0,0,0,0,0,0,0,0,0,77,0
ariR,39503,31.9273,10.7814,32.5349,27005,34.5726,37.9862,33.0086,24.7989,267,30.2353
arnA,43.8806,48407,34.7491,61.6661,53.9202,60.3987,55.5001,53.6273,54.8555,1983,51.8894
arnB,48.6269,41.85,52.5542,75.0279,68.4934,58.4015,59.4098,58.6152,49.5472,1140,56.9474
arnC,55626,51.7488,50.8738,82.0618,86.3881,87.76,55794,56.6314,43.6484,969,63.3925
arnD,41.3628,39.0737,27.4618,40873,48357,54.7792,37.63,50.3879,45.1945,891,42.7911
arnE,38326,39.2288,45.5142,61651,36.6378,39.1488,33678,42681,40619,336,41.9427
arnF,96.4982,151.6,278938,217991,259475,125225,221789,74.5094,111036,387,170785
arnT,44.5536,40.0429,37.8769,35.6746,41.9174,49.9796,45.3332,52.3324,53.0541,1653,44.5294
aroA,70.3478,75.4847,79.4485,69.2157,55.6073,61.1078,53.7263,48.9325,58.8294,1284,63.6333
aroB,136326,134653,180.08,185156,176185,132763,151016,118.66,160938,1089,152864
aroC,67.5327,79.4847,96.0873,102909,82.7488,65.0241,60.5887,53782,74.7811,1086,75.8821
aroD,50.6569,44.8309,52.8604,44.9,37304,41.6545,35.4499,53.4463,33.6486,759,43.8613
aroE,60.7225,53.7045,77.3262,91.9921,92.9769,58.0452,62.1236,52.9429,69.9567,819,68.8656
aroF,56.7983,41.8708,71.5629,50.6934,56.6501,46.4345,42.8105,47.6825,46.5569,1071,51.2289
aroG,190778,201776,310452,308884,312309,181133,226945,86.2342,174.91,1053,221491
aroH,91953,88.0558,108087,102913,121104,70.9728,69.4104,69.1598,148938,1047,96.7327
aroK,162349,154386,214726,207058,205509,147438,143716,120892,152.99,522,167674
aroL,77.7907,93.6032,76.4211,107233,77.0441,100221,117828,96044,116082,525,95.8075
aroM,84.6563,89.3854,83.3235,95.1076,73.4053,98027,81.8428,90.5398,71.7497,678,85.3375
aroP,55.3857,50.3636,51.9842,63.8308,61.9483,66.5947,74121,71.1164,71.4982,1374,62.9826
arpA,46.9655,41173,23.9393,34.5261,38.9195,49.4888,57.8735,61.1078,39.3585,2187,43.7058
arrS,55.1005,61.2532,117336,46.0005,35.6821,26.7562,91.1096,71.6528,33.2926,69,59.7982
arsB,112043,108175,87.4471,80.0307,81.5234,94.0083,105393,140092,118054,1290,102974
arsC,102922,117038,96.2926,100389,105269,108344,117074,154623,128467,426,114491
arsR,114328,98.1442,58447,62.2915,63.5884,76598,109.63,139142,112225,354,92.7105
artI,84.5265,81.8128,107408,254689,269798,133514,100883,63.3465,101162,732,133016
artJ,76.1493,82.4,77.1767,89.2326,99.4627,74.8748,57.1402,61.9201,56.6728,732,75.0032
artM,54.6302,51.7186,61.3164,62.6766,60.9864,50.3628,49.3653,51.5478,59.7879,669,55.8213
artP,127606,133149,195.71,344421,332907,197533,131998,63.2702,119558,729,182906
artQ,54.3085,58.1473,54.9532,89.7014,94.6758,56.3251,60.7906,58.6328,75574,717,67.0121
ascB,54.9527,62.4859,49.1137,49.9405,49.3646,62.6728,58057,80.3374,68.6548,1425,59.5088
ascF,52.1948,57.1411,42.5725,46.6331,43.4226,58247,55.8806,78.7507,63301,1458,55.3493
ascG,80.7309,76.8076,114249,74.3565,93.4101,82.5164,78.8463,87.5689,93.1599,1011,86.8495
asd,116.7,109399,93.2169,137699,122816,127719,141599,128146,160343,1104,126404
aslA,46.2874,37.1586,35.6354,46.3031,46.5141,50.7252,64131,86.3951,58.5068,1656,52.4063
aslB,58.1463,39237,26.0557,38.2495,45.1036,44.8101,71.6139,83.3796,61.8793,1236,52.0528
asmA,67.7051,62.3233,74.5279,71.4531,70.4774,71.1982,72.4729,67.3464,60.9318,1854,68.7151
asnA,61.1363,45.8811,34606,57.7036,58.7976,50.3143,90.9958,93.7022,99.7475,993,65.8761
asnB,60.9164,61.7396,59.8637,50.2668,59.4655,58.8364,48.7319,56.7505,58.0282,1665,57.1777
asnC,95.2554,103161,123471,121196,122988,99.5487,86.1948,94.6674,76.8378,459,102591
asnS,168514,167864,305124,165147,150505,95.6196,75.5644,59181,90.3751,1401,141988
asnT,0,0,0,0,0,0,0,0,0,76,0
asnU,0,0,0,0,0,0,0,0,0,76,0
asnV,159759,146098,134936,123093,199001,144232,162127,198392,131573,76,155468
asnW,0,0,0,0,0,0,0,0,0,76,0
aspA,483958,461217,879794,608929,595017,386306,780636,204445,328559,1437,525429
aspC,313867,339.59,493218,513086,512523,279697,234501,90.1913,243935,1191,335623
aspS,263479,260682,404987,283512,276.34,163415,112092,68.8816,128955,1773,218038
aspT,1072.73,1144.3,1885.6,1603.29,1749.48,900.61,1866.92,535203,1212.65,77,1330.09
aspU,0,0,0,0,0,0,0,0,0,77,0
aspV,0,0,0,0,0,0,0,0,0,77,0
asr,63.7029,59.8119,40.7575,75.6881,65.4501,84.3923,52.6254,59.0316,52.0398,309,61.4999
astA,41592,37.2364,26.2485,213378,204747,141139,126744,61209,105883,1035,106464
astB,37094,35178,33.1986,104782,127316,76.8381,53573,48.5073,67.8659,1344,64.9281
astC,37.1646,35.6709,24.6076,445068,439294,280.48,218305,77.8146,215807,1221,197135
astD,33.2521,34.7762,14.4759,79.1786,66.7061,59.7604,49.4764,43.9343,58.9303,1479,48.9434
astE,36.8942,30.7536,27665,121541,133393,92.8803,56.1401,43.0044,56199,969,66.4968
atoA,41.9172,49.9575,23.4912,33.8728,45.3836,46.2607,34.2494,57.8317,50.0246,651,42.5543
atoB,41.8125,49.3889,27.3289,53.9931,28.0488,56.3785,45.9777,59.3695,65.7968,1185,47.5661
atoC,71.1436,64606,85.5441,63.1576,77.2725,78.3392,74.8098,64.0311,73.7065,1386,72.5123
atoD,48.0953,42.6785,27.4079,34.7715,42.7054,62653,46525,59703,42.1895,663,45.1921
atoE,44.3109,45.8616,32.9096,43.6892,38.5486,50.2361,51.8891,63.5057,50.0476,1323,46.7776
atoS,59.8111,58.4216,64.6001,61.2624,58.6205,55.3878,72764,71.5016,66.0481,1827,63.1575
atpA,2294.27,2415.11,3861.76,3199.93,2972.31,1379.99,2272.73,594491,1946.92,1542,2326.39
atpB,352899,333683,566203,434423,402.8,247882,331893,170.89,365808,816,356276
atpC,114613,106.6,80.1051,139.61,154088,111814,209951,103092,132876,420,128083
atpD,460953,441569,770396,791908,599175,315372,544684,200903,487362,1383,512.48
atpE,1924.22,1427.03,2261.68,1770.78,1943.27,866837,1041.47,379632,2169.38,240,1531.59
atpF,5419.73,4429.82,5965.47,5595.43,5662.67,2460.83,2224.54,805067,3649.05,471,4023.62
atpG,446355,514214,762973,668024,654596,327194,801.44,240051,510.33,864,547242
atpH,9170.21,9693.82,13866.3,12043.6,10629.1,5024.91,7841.64,1602.87,5746.76,534,8402.12
atpI,170284,198736,333386,334986,304642,165962,252122,147577,258199,381,240655
avtA,209393,203.48,256.53,314659,289597,223319,288894,197596,260236,1254,249.3
azoR,66.3811,74.7086,82.8322,54.5821,60.3617,77.6856,53.5291,65.4199,66.2264,606,66.8585
azuC,40.1762,36.2293,41.3598,51.8445,28.2996,42.4408,40.4652,39.5326,65.2345,87,42.8425
bacA,102053,95.4264,77.7006,64.4236,85.1495,87.7326,99.2186,117641,108004,822,93.0388
baeR,207543,250079,360826,210724,207726,159434,118369,76.3674,112514,723,189287
baeS,48.7428,43726,34.8554,33.5537,43.7149,45.4476,49.2537,52.4054,49.6627,1404,44.5958
bamA,239993,260012,413073,329852,342399,236748,180733,95.6212,162899,2433,251259
bamB,211427,212.05,411409,390785,358584,214624,229139,84.2591,139025,1179,250145
bamC,75067,77.1721,72.3137,65.8533,60.6595,49.2759,71.3489,62.8705,60.1877,1035,66.0832
bamD,422105,459707,729412,598046,605507,314732,276563,96.9518,218623,738,413516
bamE,131967,149973,237256,336551,303387,177802,159554,67.1633,102334,342,185.11
barA,98.1322,108011,113352,97.0091,101294,97.7244,100.36,102829,95.2321,2757,101549
basR,97.1612,107078,134466,151822,129333,122285,126546,111863,135533,669,124.01
