gene,BB9,BB10,BB17,BB19,BB20,BB21,BB11,BB12,BB18
atpA,11.164448157146245,11.238470423448382,11.915416327863293,11.644275412105689,11.537854172444233,10.43148715747844,11.15084523247718,19.18129787038254,10.927718712609414
atpD,18.81426326135368,18.752282634049653,19.555242559635904,19.59497513101497,19.192620312228104,18.26669962653262,19.055062611995957,17.616146762861998,18.894637202021
atpE,10.910807600481906,10.479810572430084,11.143816850240423,10.790983761798053,10.92501286400342,19.72540287338051,10.025790151330602,18.53424588003888,11.08373194305532
atpF,12.404271434481563,12.113358003861917,12.542661913016014,12.45029110045897,12.467521492308782,11.26551542559704,11.11993971548284,19.61875111992434,11.833700511465146
atpH,13.162896372445104,13.242998397278004,13.759399298011534,13.556098862158745,13.375867548274112,12.295169121476311,12.937123662700102,10.647341495060932,12.488784107410964
atpI,17.377591831480796,17.60050096678887,18.34683832380856,18.353745583740224,18.216760065337542,17.340502115609365,17.943768208945745,17.171118143961618,17.978129475081914
baeR,17.663057699342115,17.932030157887027,18.46094777120274,17.685001957251053,17.66432922183982,17.28260884644799,16.85294396135495,6.273653886505666,16.779757822395094
bamE,17.009828617368107,17.194352886342557,17.85609112739998,18.3604699045212,18.210804497784228,17.439920140835145,17.283694293722657,6.090923277551879,16.642940125781674
basR,6.6170809806390665,16.70831604540732,17.03689263400082,17.212030838789712,16.98074206268127,16.899899719784496,16.949313780886403,16.7713862982601,17.048295285265702
bax,17.831950453701126,17.85058975517455,18.233259220090822,18.60495855369033,18.68930189092454,18.262287578550435,18.616965166627267,17.784155554429052,18.347958682274687
bcsB,16.823939387650366,16.783151722500733,16.634272207304132,6.476135384371154,16.62519513391904,16.609669328049094,16.644546376774436,17.092488757505276,17.088902083265467
bcsE,17.488773753571557,17.42625656350515,7.464994927265429,18.0227470775236,18.13605489039242,17.78925343334141,17.73170352166219,17.48856195418666,17.5328124791722
bcsF,17.01264636068455,17.226421600984324,17.119934043328477,17.342430643535288,17.453833273107527,17.236780345402362,17.208863037596643,16.99028127536032,16.266383946848034
bcsG,17.241415296950347,17.197965342348727,16.987086329328193,17.18742940255173,17.196678961665036,17.135298460277973,7.14414836650889,17.25735100870935,17.29551784690763
bepA,17.681307052380006,17.74646839643485,18.286666046303157,18.27201462052523,18.24656433254447,17.455864983802723,17.718914101740946,6.600619143642296,17.285673132246494
bglA,18.229241293156974,18.447906521059483,19.03220450335227,18.463125201375146,18.481535365302573,17.850272314403973,17.87579733808343,17.184749457935965,17.88918902871508
bglF,17.13831180336209,17.27854927892576,17.668116298496766,17.144757807019946,17.102734395945404,16.762914022659693,7.168621980161422,17.145763020342734,17.121745972212235
