gene,BB9,BB10,BB17,BB19,BB20,BB21,BB11,BB12,BB18
agaR,6.444224769558635,16.359921103471947,6.449622448511009,16.69381361776131,16.632682867102677,16.687676395831136,16.945923862301242,16.849588358495275,16.913590683673352
agaS,6.093135468470743,5.986272120375995,5.749703197904164,5.6939663822699265,5.798613066512617,5.676673616886509,6.1650637546854545,16.472040286880862,6.35065989470927
agaV,6.048815972545958,6.250034965793146,5.120248247080368,15.494668111936729,5.915580653285293,6.279480581756709,6.441996312723763,6.5530916626661995,6.105372176687016
agp,17.154610469413075,17.251352958733744,17.693228298993265,8.852841578417069,18.65837537801657,18.102288437023766,17.558884037675202,6.310218315359791,16.97742527700585
agrA,6.504496455127327,6.077206674696009,6.573515407754673,4.850119312310644,5.108415727837424,6.451862238636078,15.86961793936239,16.997852058340058,6.197517489472756
agrB,16.26669505195798,6.040294105277489,6.507122282783113,5.2015319280277765,6.2549190058386746,4.964403253256132,15.86961793936239,16.910642730469625,6.78646567707339
ahpC,11.941363115514326,11.979096460645659,12.601485284789497,12.735183667465826,12.639912698453825,11.543355713411152,11.889066601578902,19.35749831147428,11.174526265266431
ahpF,17.8123528173854,17.82186115876762,18.19668856577005,8.599987205994308,18.312555065011207,17.837603296775246,17.86595674177221,16.6849951108946,17.457637380991763
ahr,5.987862002481125,15.767046430231881,5.817254862810304,6.055531902547446,6.221500121955802,6.159384975778882,6.360912031422248,6.558713049433809,6.473033552823387
aidB,6.052172410122588,5.953581870705278,5.657071160285229,16.295733067451174,6.140457612239326,6.589514828330442,6.293307942519463,16.689943389006753,6.5835461612070105
ais,15.354628191200637,4.871543055729631,5.468035849172419,5.074274216707572,15.106971809667087,5.51653840738129,5.8333860135031,15.868798445364979,5.503685833511459
alaA,6.479888563121274,16.63131918054434,16.712486698130746,16.79663536835185,6.536506780292933,6.465071681695142,6.1255353904988175,6.043773189707017,16.09747665035153
alaC,6.033182899483432,5.9460266493756375,6.213071160033882,5.865490791116115,15.692179576312538,5.554754598607694,5.901822654005146,5.9540892677515656,15.973607688291903
alaE,5.926535583846216,5.912132471121142,6.107853133787123,6.596604238429773,6.355726368582317,6.29816707051684,5.64889393114595,15.934934774740732,6.001351892999959
alaS,7.811727897803886,17.81343049355114,18.584158773939414,17.594973309219846,17.599912842187127,17.081348199900077,17.120663137489736,6.555670467403089,17.053819847013614
alaT,19.623406427548545,19.766150353359212,10.401658196014521,10.378121418585215,10.069691427137968,19.29269683643741,19.70886665670733,8.360583754590063,18.86213788225746
alaW,19.409397151779647,10.092162501202337,10.907551679348806,10.492594290851734,10.338190394662325,19.66357895065422,10.104074518441998,19.08153544940811,19.821186958174916
aldA,17.36900087087394,17.432166693475644,18.24123372309813,19.73577415687179,19.625715976625948,19.02816237949287,19.416319232390148,17.452386043292233,18.568234483703744
aldB,16.71348049327575,16.663446918132607,6.455207196237411,6.599256787358174,6.58261771965794,16.89545694624143,17.199269750989497,7.279657006533684,17.096447506439198
alkA,5.498362576314446,5.4632333527397625,4.968261284191359,5.416650612188958,5.566793848230608,5.585689676177524,5.575881066446746,5.990367228134203,5.720489162134911
alkB,5.587902000821893,5.5911587752725325,5.516377666858743,5.818344424755085,5.857973532892545,5.915922390220676,5.700101199976854,5.93188866899403,5.807517216120834
allA,5.9468875646121555,16.048572016371356,16.255342133015645,16.733293429021316,16.996054142340657,6.593319406459653,6.183345572864164,6.366453362379254,6.289399230783477
allB,6.017872926778596,6.202308006753966,5.7038011626798975,5.909751506748831,5.91944496723111,6.324209355218037,5.966764983889931,6.360890967772036,15.99003746642526
